City,Country,Edition,Sport,Discipline,Athlete,NOC,Country,Gender,Event,Event_gender,Medal
Athens,Greece,1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"WEINGéRTNER, Hermann",GER,Germany,Men,"team, parallel bars",Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Greece,Men,"team, parallel bars",Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros",GRE,Greece,Men,"team, parallel bars",Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Greece,Men,"team, parallel bars",Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Greece,Men,"team, parallel bars",Men,Silver
Athens,Greece,1896,Gymnastics,Artistic G.,"WEINGéRTNER, Hermann",GER,Germany,Men,vault,Men,Bronze
Athens,Greece,1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Germany,Men,vault,Men,Gold
Athens,Greece,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Switzerland,Men,vault,Men,Silver
Athens,Greece,1896,Shooting,Shooting,"MORAKIS, Nikolaos",GRE,Greece,Men,25m army pistol,Men,Bronze
Athens,Greece,1896,Shooting,Shooting,"PAINE, John",USA,United States,Men,25m army pistol,Men,Gold
Athens,Greece,1896,Shooting,Shooting,"PAINE, Sumner",USA,United States,Men,25m army pistol,Men,Silver
Athens,Greece,1896,Shooting,Shooting,"NIELSEN, Holger",DEN,Denmark,Men,25m rapid fire pistol (60 shots),Men,Bronze
Athens,Greece,1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Greece,Men,25m rapid fire pistol (60 shots),Men,Gold
Athens,Greece,1896,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Greece,Men,25m rapid fire pistol (60 shots),Men,Silver
Athens,Greece,1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Greece,Men,50m pistol (60 shots),Men,Bronze
Athens,Greece,1896,Shooting,Shooting,"PAINE, Sumner",USA,United States,Men,50m pistol (60 shots),Men,Gold
Athens,Greece,1896,Shooting,Shooting,"NIELSEN, Holger",DEN,Denmark,Men,50m pistol (60 shots),Men,Silver
Athens,Greece,1896,Shooting,Shooting,"TRIKUPIS, Nicolaos",GRE,Greece,Men,"army rifle, 200m",Men,Bronze
Athens,Greece,1896,Shooting,Shooting,"KARASEVDAS, Pantelis",GRE,Greece,Men,"army rifle, 200m",Men,Gold
Athens,Greece,1896,Shooting,Shooting,"PAVLIDIS, Pavlos",GRE,Greece,Men,"army rifle, 200m",Men,Silver
Athens,Greece,1896,Shooting,Shooting,"JENSEN, Viggo",DEN,Denmark,Men,"army rifle, 300m",Men,Bronze
Athens,Greece,1896,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Greece,Men,"army rifle, 300m",Men,Gold
Athens,Greece,1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Greece,Men,"army rifle, 300m",Men,Silver
Athens,Greece,1896,Tennis,Tennis,"FLACK, Edwin",ZZX,Mixed teams,Men,doubles,Men,Bronze
Athens,Greece,1896,Tennis,Tennis,"ROBERTSON, George Stuart",ZZX,Mixed teams,Men,doubles,Men,Bronze
Athens,Greece,1896,Tennis,Tennis,"BOLAND, John",ZZX,Mixed teams,Men,doubles,Men,Gold
Athens,Greece,1896,Tennis,Tennis,"TRAUN, Friedrich",ZZX,Mixed teams,Men,doubles,Men,Gold
Athens,Greece,1896,Tennis,Tennis,"KASDAGLIS, Dionysios",ZZX,Mixed teams,Men,doubles,Men,Silver
Athens,Greece,1896,Tennis,Tennis,"PETROKOKKINOS, Demetrios",ZZX,Mixed teams,Men,doubles,Men,Silver
Athens,Greece,1896,Tennis,Tennis,"PASPATIS, Konstantinos",GRE,Greece,Men,singles,Men,Bronze
